NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP
DRP.RXCDR_LOCK_CFG0,13,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_MAX_SKEW,14,0,12,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_LEN,14,0,10,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_1_1,14,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCI3_RX_ELECIDLE_HI_COUNT,15,0,10,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_1_3,15,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCI3_RX_ELECIDLE_H2L_COUNT,16,0,10,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_1_4,16,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_BUFFER_CFG,17,0,10,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.RX_DEFER_RESET_BUF_EN,17,0,9,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.OOBDIVCTL,17,0,7,8,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCI3_AUTO_REALIGN,17,0,5,6,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCI3_PIPE_RX_ELECIDLE,17,0,4,4,attr,rw,0,y,GTHE3_CHANNEL
DRP.A_RXSYSCLKSEL,17,0,2,3,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.A_RXPLLCLKSEL,17,0,0,1,attr_hidden,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_1_ENABLE,18,0,12,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.PCI3_RX_ASYNC_EBUF_BYPASS,18,0,10,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_1,18,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_2,19,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_3,1a,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_4,1b,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_ENABLE,1c,0,12,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_SEQ_2_USE,1c,0,11,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_KEEP_IDLE,1c,0,6,6,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_MIN_LAT,1c,0,0,5,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_MAX_LAT,1d,0,10,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_PRECEDENCE,1d,0,9,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_REPEAT_WAIT,1d,0,4,8,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_LEN,1d,0,2,3,attr,rw,0,y,GTHE3_CHANNEL
DRP.CHAN_BOND_KEEP_ALIGN,1d,0,0,0,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_1_1,1e,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_1_2,1f,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_1_3,20,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_1_4,21,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_1_ENABLE,22,0,12,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_1,22,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_2,23,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_ENABLE,24,0,12,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_USE,24,0,11,11,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_CORRECT_USE,24,0,10,10,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_3,24,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.CLK_COR_SEQ_2_4,25,0,0,9,attr,rw,0,y,GTHE3_CHANNEL
DRP.RXDFE_HE_CFG0,26,0,0,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_COMMA_WORD,27,0,13,15,attr,rw,0,y,GTHE3_CHANNEL
DRP.ALIGN_COMMA_DOUBLE,27,0,12,12,attr,rw,0,y,GTHE3_CHANNEL
