NAME,ADDRESS,SEQ,START,END,TYPE,READWRITE,DEFAULT,IS_REGISTER,GROUP,DESCRIPTION
DRP.QPLL0_CFG2_G3,1b,0,0,15,attr,rw,,,,
DRP.QPLL0_LPF_G3,1c,0,0,9,attr,rw,,,,
DRP.QPLL0_LOCK_CFG_G3,1d,0,0,15,attr,rw,,,,
DRP.RSVD_ATTR1,1e,0,0,15,attr,rw,,,,
DRP.QPLL0_FBDIV_G3,1f,0,8,15,attr,rw,,,,
DRP.RXRECCLKOUT0_SEL,1f,0,0,1,attr,rw,,,,
DRP.QPLL0_SDM_CFG0,20,0,0,15,attr,rw,,,,
DRP.QPLL0_SDM_CFG1,21,0,0,15,attr,rw,,,,
DRP.SDM0INITSEED0_0,22,0,0,15,attr,rw,,,,
DRP.SDM0INITSEED0_1,23,0,0,8,attr,rw,,,,
DRP.QPLL0_SDM_CFG2,24,0,0,15,attr,rw,,,,
DRP.QPLL0_CP_G3,25,0,0,9,attr,rw,,,,
DRP.A_SDM0DATA1_0,28,0,0,15,attr_hidden,rw,,,,
DRP.A_SDMRESET0,29,0,12,12,attr_hidden,rw,,,,
DRP.AEN_SDMRESET0,29,0,11,11,attr_hidden,rw,,,,
DRP.AEN_SDMWIDTH0,29,0,10,10,attr_hidden,rw,,,,
DRP.AEN_SDMDATA0,29,0,9,9,attr_hidden,rw,,,,
DRP.A_SDM0DATA1_1,29,0,0,8,attr_hidden,rw,,,,
DRP.QPLL0_CFG4,30,0,0,15,attr,rw,,,,
