FGMEM_ID,HIDDEN,NAME,COMPATIBLE_DEVICES,MEM_DEVICE,MEM_TYPE,MEM_DENSITY,DATA_WIDTH,COMPATIBLE_RS_PINS,MEM_MANUFACTURER,MEM_INTERFACE_FILE,NUM_CFG_FILES,MEM_DEVICE_ALIAS,MEM_FAMILY
49,0,28f256p33b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f256p33b,bpi,256,x16,"""23:13""",Micron,,1,,p33
50,0,28f512p33t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f512p33t,bpi,512,x16,"""24:13""",Micron,,1,,p33
51,0,28f512p33e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f512p33e,bpi,512,x16,"""24:13""",Micron,,1,,p33
52,0,28f512p33b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f512p33b,bpi,512,x16,"""24:13""",Micron,,1,,p33
53,0,28f00ap33t-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f00ap33t,bpi,1024,x16,"""25:13""",Micron,,1,,p33
54,0,28f00ap33e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f00ap33e,bpi,1024,x16,"""25:13""",Micron,,1,,p33
55,0,28f00ap33b-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115,28f00ap33b,bpi,1024,x16,"""25:13""",Micron,,1,,p33
57,0,28f128g18f-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,28f128g18f,bpi,128,x16,"""22:13""",Micron,,1,,g18
196,0,mt28gu256aax1e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,mt28gu256aax1e,bpi,256,x16,"""23:13""",Micron,,1,28f256g18f,g18
197,0,mt28gu512aax1e-bpi-x16,- xc7a100t xc7a200t xc7a15t xc7a35t xc7a50t xc7a75t xc7k160t xc7k325t xc7k355t xc7k410t xc7k420t xc7k480t xc7k70t xc7v2000t xc7v585t xc7vh580t xc7vh870t xc7vx1140t xc7vx330t xc7vx415t xc7vx485t xc7vx550t xc7vx690t xc7vx980t xcku025 xcku035 xcku040 xcku060 xcku085 xcku115 xcvu065 xcvu080 xcvu095 xcku095 xcku5p xcku9p xcku13p xcku15p xcvu3p xcvu7p xcvu9p xcvu125 xcvu160 xcvu190 xcvu440,mt28gu512aax1e,bpi,512,x16,"""24:13""",Micron,,1,28f512g18f,g18
